date,data,cols
1,"Genesis multivariate anomaly detection prompt. The sequence has 18 numeric telemetry channels. External context: Genesis records an automated material-handling process with motor, storage, sensor, and PLC state signals.",channel1
2,"Genesis multivariate anomaly detection prompt. The sequence has 18 numeric telemetry channels. Normal context: actuator states, positions, speeds, light barriers, gripper states, and material indicators should follow the process cycle.",channel1
3,"Genesis multivariate anomaly detection prompt. The sequence has 18 numeric telemetry channels. Anomaly context: process faults may appear as mode-inconsistent motor current, position-speed mismatch, sensor disagreement, or unexpected PLC states.",channel1
4,"Genesis multivariate anomaly detection prompt. The sequence has 18 numeric telemetry channels. Cross-channel context: automation anomalies should be judged by consistency among motor motion, storage logic, gripper state, and material sensors.",channel1
5,"Genesis multivariate anomaly detection prompt. The sequence has 18 numeric telemetry channels. External context: Genesis records an automated material-handling process with motor, storage, sensor, and PLC state signals.",channel1
6,"Genesis multivariate anomaly detection prompt. The sequence has 18 numeric telemetry channels. Normal context: actuator states, positions, speeds, light barriers, gripper states, and material indicators should follow the process cycle.",channel1
7,"Genesis multivariate anomaly detection prompt. The sequence has 18 numeric telemetry channels. Anomaly context: process faults may appear as mode-inconsistent motor current, position-speed mismatch, sensor disagreement, or unexpected PLC states.",channel1
8,"Genesis multivariate anomaly detection prompt. The sequence has 18 numeric telemetry channels. Cross-channel context: automation anomalies should be judged by consistency among motor motion, storage logic, gripper state, and material sensors.",channel1
9,"Genesis multivariate anomaly detection prompt. The sequence has 18 numeric telemetry channels. External context: Genesis records an automated material-handling process with motor, storage, sensor, and PLC state signals.",channel1
10,"Genesis multivariate anomaly detection prompt. The sequence has 18 numeric telemetry channels. Normal context: actuator states, positions, speeds, light barriers, gripper states, and material indicators should follow the process cycle.",channel1
11,"Genesis multivariate anomaly detection prompt. The sequence has 18 numeric telemetry channels. Anomaly context: process faults may appear as mode-inconsistent motor current, position-speed mismatch, sensor disagreement, or unexpected PLC states.",channel1
